row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs,valid_key,table_difference,source_error_matches_dirty,source_right_matches_clean,source_error_value,source_right_value,annotation_orientation_fixed
0,MeasureName,rule_violation,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0,"Constraint Violation: The MeasureCode of Row 0 is equal to the MeasureCode of Row 136, and The MeasureName of Row 0 is different from the MeasureName of Row 136.","(0, 136)",True,True,False,False,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,True
3,City,rule_violation,birminghxm,birmingham,0,"Constraint Violation: The HospitalName of Row 1 is equal to the HospitalName of Row 3, and The City of Row 1 is different from the City of Row 3.","(1, 3)",True,True,False,False,birmingham,birminghxm,True
7,City,rule_violation,birmingxam,birmingham,0,"Constraint Violation: The HospitalName of Row 0 is equal to the HospitalName of Row 7, and The City of Row 0 is different from the City of Row 7.","(0, 7)",True,True,False,False,birmingham,birmingxam,True
10,City,rule_violation,sheffxeld,sheffield,0,"Constraint Violation: The HospitalName of Row 10 is equal to the HospitalName of Row 454, and The City of Row 10 is different from the City of Row 454.","(10, 454)",True,True,False,False,sheffield,sheffxeld,True
13,ProviderNumber,rule_violation,1xx19,10019,0,"Constraint Violation: The HospitalName of Row 13 is equal to the HospitalName of Row 461, and The ProviderNumber of Row 13 is different from the ProviderNumber of Row 461.","(13, 461)",True,True,False,False,10019,1xx19,True
16,HospitalType,pattern_violation,acuxe care hospixals,acute care hospitals,0,,,True,True,False,False,acute care hospitals,acuxe care hospixals,True
17,Sample,pattern_violation,3x patients,37 patients,0,,,True,True,False,False,37 patients,3x patients,True
21,Condition,rule_violation,heart attaxk,heart attack,0,"Constraint Violation: The MeasureCode of Row 21 is equal to the MeasureCode of Row 568, and The Condition of Row 21 is different from the Condition of Row 568.","(21, 568)",True,True,False,False,heart attack,heart attaxk,True
22,HospitalOwner,rule_violation,government - hospxtal dxstrxct or authorxty,government - hospital district or authority,0,"Constraint Violation: The HospitalName of Row 22 is equal to the HospitalName of Row 34, and The HospitalOwner of Row 22 is different from the HospitalOwner of Row 34.","(22, 34)",True,True,False,False,government - hospital district or authority,government - hospxtal dxstrxct or authorxty,True
22,Condition,rule_violation,hearx axxack,heart attack,0,"Constraint Violation: The MeasureCode of Row 22 is equal to the MeasureCode of Row 494, and The Condition of Row 22 is different from the Condition of Row 494.","(22, 494)",True,True,False,False,heart attack,hearx axxack,True
24,PhoneNumber,rule_violation,334793870x,3347938701,0,"Constraint Violation: The HospitalName of Row 24 is equal to the HospitalName of Row 25, and The PhoneNumber of Row 24 is different from the PhoneNumber of Row 25.","(24, 25)",True,True,False,False,3347938701,334793870x,True
24,EmergencyService,rule_violation,yxs,yes,0,"Constraint Violation: The ZipCode of Row 24 is equal to the ZipCode of Row 43, and The EmergencyService of Row 24 is different from the EmergencyService of Row 43.","(24, 43)",True,True,False,False,yes,yxs,True
26,HospitalName,rule_violation,southeast alabama medxcal center,southeast alabama medical center,0,"Constraint Violation: The ProviderNumber of Row 24 is equal to the ProviderNumber of Row 26, and The HospitalName of Row 24 is different from the HospitalName of Row 26.","(24, 26)",True,True,False,False,southeast alabama medical center,southeast alabama medxcal center,True
27,HospitalOwner,rule_violation,government - hospital xistrict or authority,government - hospital district or authority,0,"Constraint Violation: The HospitalName of Row 20 is equal to the HospitalName of Row 27, and The HospitalOwner of Row 20 is different from the HospitalOwner of Row 27.","(20, 27)",True,True,False,False,government - hospital district or authority,government - hospital xistrict or authority,True
31,HospitalOwner,rule_violation,governmenx - hospixal disxricx or auxhorixy,government - hospital district or authority,0,"Constraint Violation: The HospitalName of Row 31 is equal to the HospitalName of Row 32, and The HospitalOwner of Row 31 is different from the HospitalOwner of Row 32.","(31, 32)",True,True,False,False,government - hospital district or authority,governmenx - hospixal disxricx or auxhorixy,True
36,PhoneNumber,rule_violation,xx479x8701,3347938701,0,"Constraint Violation: The HospitalName of Row 36 is equal to the HospitalName of Row 38, and The PhoneNumber of Row 36 is different from the PhoneNumber of Row 38.","(36, 38)",True,True,False,False,3347938701,xx479x8701,True
39,HospitalType,pattern_violation,acxte care hospitals,acute care hospitals,0,,,True,True,False,False,acute care hospitals,acxte care hospitals,True
42,State,pattern_violation,xl,al,0,,,True,True,False,False,al,xl,True
42,HospitalOwner,rule_violation,gxvernment - hxspital district xr authxrity,government - hospital district or authority,0,"Constraint Violation: The HospitalName of Row 39 is equal to the HospitalName of Row 42, and The HospitalOwner of Row 39 is different from the HospitalOwner of Row 42.","(39, 42)",True,True,False,False,government - hospital district or authority,gxvernment - hxspital district xr authxrity,True
43,EmergencyService,rule_violation,yex,yes,0,"Constraint Violation: The ZipCode of Row 30 is equal to the ZipCode of Row 43, and The EmergencyService of Row 30 is different from the EmergencyService of Row 43.","(30, 43)",True,True,False,False,yes,yex,True
44,ZipCode,rule_violation,x5957,35957,0,"Constraint Violation: The HospitalName of Row 44 is equal to the HospitalName of Row 54, and The ZipCode of Row 44 is different from the ZipCode of Row 54.","(44, 54)",True,True,False,False,35957,x5957,True
45,ProviderNumber,rule_violation,x0005,10005,0,"Constraint Violation: The HospitalName of Row 45 is equal to the HospitalName of Row 48, and The ProviderNumber of Row 45 is different from the ProviderNumber of Row 48.","(45, 48)",True,True,False,False,10005,x0005,True
46,State,rule_violation,xl,al,0,"Constraint Violation: The HospitalName of Row 46 is equal to the HospitalName of Row 47, and The PhoneNumber of Row 46 is equal to the PhoneNumber of Row 47, and The HospitalOwner of Row 46 is equal to the HospitalOwner of Row 47, and The State of Row 46 is different from the State of Row 47.","(46, 47)",True,True,False,False,al,xl,True
50,State,rule_violation,xl,al,0,"Constraint Violation: The HospitalName of Row 50 is equal to the HospitalName of Row 64, and The PhoneNumber of Row 50 is equal to the PhoneNumber of Row 64, and The HospitalOwner of Row 50 is equal to the HospitalOwner of Row 64, and The State of Row 50 is different from the State of Row 64.","(50, 64)",True,True,False,False,al,xl,True
51,EmergencyService,rule_violation,yxs,yes,0,"Constraint Violation: The ZipCode of Row 46 is equal to the ZipCode of Row 51, and The EmergencyService of Row 46 is different from the EmergencyService of Row 51.","(46, 51)",True,True,False,False,yes,yxs,True
56,City,rule_violation,boxz,boaz,0,"Constraint Violation: The HospitalName of Row 56 is equal to the HospitalName of Row 60, and The City of Row 56 is different from the City of Row 60.","(56, 60)",True,True,False,False,boaz,boxz,True
56,Stateavg,rule_violation,al_pn-xb,al_pn-3b,0,"Constraint Violation: The MeasureCode of Row 56 is equal to the MeasureCode of Row 528, and The Stateavg of Row 56 is different from the Stateavg of Row 528.","(56, 528)",True,True,False,False,al_pn-3b,al_pn-xb,True
57,Address1,rule_violation,2505xuxsxhighwayx431xnorth,2505 u s highway 431 north,0,"Constraint Violation: The HospitalName of Row 57 is equal to the HospitalName of Row 58, and The Address1 of Row 57 is different from the Address1 of Row 58.","(57, 58)",True,True,False,False,2505 u s highway 431 north,2505xuxsxhighwayx431xnorth,True
57,PhoneNumber,rule_violation,2x6x938310,2565938310,0,"Constraint Violation: The HospitalName of Row 57 is equal to the HospitalName of Row 64, and The PhoneNumber of Row 57 is different from the PhoneNumber of Row 64.","(57, 64)",True,True,False,False,2565938310,2x6x938310,True
60,PhoneNumber,rule_violation,2x6x938310,2565938310,0,"Constraint Violation: The HospitalName of Row 52 is equal to the HospitalName of Row 60, and The PhoneNumber of Row 52 is different from the PhoneNumber of Row 60.","(52, 60)",True,True,False,False,2565938310,2x6x938310,True
63,ZipCode,rule_violation,3595x,35957,0,"Constraint Violation: The HospitalName of Row 54 is equal to the HospitalName of Row 63, and The ZipCode of Row 54 is different from the ZipCode of Row 63.","(54, 63)",True,True,False,False,35957,3595x,True
65,PhoneNumber,rule_violation,2565x38310,2565938310,0,"Constraint Violation: The HospitalName of Row 61 is equal to the HospitalName of Row 65, and The PhoneNumber of Row 61 is different from the PhoneNumber of Row 65.","(61, 65)",True,True,False,False,2565938310,2565x38310,True
67,CountyName,rule_violation,mxrshxll,marshall,0,"Constraint Violation: The City of Row 64 is equal to the City of Row 67, and The CountyName of Row 64 is different from the CountyName of Row 67.","(64, 67)",True,True,False,False,marshall,mxrshxll,True
69,Stateavg,rule_violation,al_amx-1,al_ami-1,0,"Constraint Violation: The MeasureCode of Row 69 is equal to the MeasureCode of Row 119, and The Stateavg of Row 69 is different from the Stateavg of Row 119.","(69, 119)",True,True,False,False,al_ami-1,al_amx-1,True
70,ZipCode,rule_violation,3563x,35631,0,"Constraint Violation: The HospitalName of Row 70 is equal to the HospitalName of Row 85, and The ZipCode of Row 70 is different from the ZipCode of Row 85.","(70, 85)",True,True,False,False,35631,3563x,True
72,CountyName,rule_violation,laudxrdalx,lauderdale,0,"Constraint Violation: The City of Row 72 is equal to the City of Row 89, and The CountyName of Row 72 is different from the CountyName of Row 89.","(72, 89)",True,True,False,False,lauderdale,laudxrdalx,True
73,Condition,rule_violation,hearx axxack,heart attack,0,"Constraint Violation: The MeasureCode of Row 73 is equal to the MeasureCode of Row 595, and The Condition of Row 73 is different from the Condition of Row 595.","(73, 595)",True,True,False,False,heart attack,hearx axxack,True
77,CountyName,rule_violation,laudexdale,lauderdale,0,"Constraint Violation: The City of Row 71 is equal to the City of Row 77, and The CountyName of Row 71 is different from the CountyName of Row 77.","(71, 77)",True,True,False,False,lauderdale,laudexdale,True
79,City,rule_violation,fxorence,florence,0,"Constraint Violation: The HospitalName of Row 72 is equal to the HospitalName of Row 79, and The City of Row 72 is different from the City of Row 79.","(72, 79)",True,True,False,False,florence,fxorence,True
81,ProviderNumber,rule_violation,1000x,10006,0,"Constraint Violation: The HospitalName of Row 72 is equal to the HospitalName of Row 81, and The ProviderNumber of Row 72 is different from the ProviderNumber of Row 81.","(72, 81)",True,True,False,False,10006,1000x,True
83,State,rule_violation,xl,al,0,"Constraint Violation: The HospitalName of Row 77 is equal to the HospitalName of Row 83, and The PhoneNumber of Row 77 is equal to the PhoneNumber of Row 83, and The HospitalOwner of Row 77 is equal to the HospitalOwner of Row 83, and The State of Row 77 is different from the State of Row 83.","(77, 83)",True,True,False,False,al,xl,True
88,City,rule_violation,florxncx,florence,0,"Constraint Violation: The HospitalName of Row 79 is equal to the HospitalName of Row 88, and The City of Row 79 is different from the City of Row 88.","(79, 88)",True,True,False,False,florence,florxncx,True
91,Sample,pattern_violation,619 paxienxs,619 patients,0,,,True,True,False,False,619 patients,619 paxienxs,True
93,City,rule_violation,flxrence,florence,0,"Constraint Violation: The HospitalName of Row 85 is equal to the HospitalName of Row 93, and The City of Row 85 is different from the City of Row 93.","(85, 93)",True,True,False,False,florence,flxrence,True
93,ZipCode,rule_violation,3563x,35631,0,"Constraint Violation: The HospitalName of Row 88 is equal to the HospitalName of Row 93, and The ZipCode of Row 88 is different from the ZipCode of Row 93.","(88, 93)",True,True,False,False,35631,3563x,True
94,Address1,rule_violation,702xnxmainxst,702 n main st,0,"Constraint Violation: The HospitalName of Row 94 is equal to the HospitalName of Row 98, and The Address1 of Row 94 is different from the Address1 of Row 98.","(94, 98)",True,True,False,False,702 n main st,702xnxmainxst,True
94,MeasureName,rule_violation,xeart attack patients given aspirin at arrival,heart attack patients given aspirin at arrival,0,"Constraint Violation: The MeasureCode of Row 94 is equal to the MeasureCode of Row 379, and The MeasureName of Row 94 is different from the MeasureName of Row 379.","(94, 379)",True,True,False,False,heart attack patients given aspirin at arrival,xeart attack patients given aspirin at arrival,True
97,MeasureCode,rule_violation,axi-4,ami-4,0,"Constraint Violation: The MeasureName of Row 97 is equal to the MeasureName of Row 147, and The MeasureCode of Row 97 is different from the MeasureCode of Row 147.","(97, 147)",True,True,False,False,ami-4,axi-4,True
98,State,rule_violation,xl,al,0,"Constraint Violation: The HospitalName of Row 95 is equal to the HospitalName of Row 98, and The PhoneNumber of Row 95 is equal to the PhoneNumber of Row 98, and The HospitalOwner of Row 95 is equal to the HospitalOwner of Row 98, and The State of Row 95 is different from the State of Row 98.","(95, 98)",True,True,False,False,al,xl,True
